Country,Region
Afghanistan,
Albania,
Algeria,
American Samoa,
Andorra,
Angola,
Anguilla,
Antigua and Barbuda,
Argentina,
Armenia,
Australia,
Australia,Australian Capital Territory
Australia,New South Wales
Australia,Northern Territory
Australia,Queensland
Australia,South Australia
Australia,Tasmania
Australia,Victoria
Australia,Western Australia
Austria,
Azerbaijan,
"Bahamas, The",
Bahrain,
Bangladesh,
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bhutan,
Bolivia,
Bosnia and Herzegovina,
Botswana,
Brazil,
British Virgin Islands,
Brunei,
Bulgaria,
Burkina Faso,
Burma,
Burundi,
Cabo Verde,
Cambodia,
Cameroon,
Canada,
Canada,Alberta
Canada,British Columbia
Canada,Manitoba
Canada,New Brunswick
Canada,Newfoundland and Labrador
Canada,Northwest Territories
Canada,Nova Scotia
Canada,Nunavut
Canada,Ontario
Canada,Prince Edward Island
Canada,Quebec
Canada,Saskatchewan
Canada,Yukon
Central African Republic,
Chad,
Chile,
China,
China,Anhui
China,Beijing
China,Chongqing
China,Fujian
China,Gansu
China,Guangdong
China,Guangxi
China,Guizhou
China,Hainan
China,Hebei
China,Heilongjiang
China,Henan
China,Hong Kong
China,Hubei
China,Hunan
China,Inner Mongolia
China,Jiangsu
China,Jiangxi
China,Jilin
China,Liaoning
China,Macau
China,Ningxia
China,Qinghai
China,Shaanxi
China,Shandong
China,Shanghai
China,Shanxi
China,Sichuan
China,Taiwan
China,Tianjin
China,Tibet
China,Xinjiang
China,Yunnan
China,Zhejiang
Christmas Island,
Cocos (Keeling) Islands,
Colombia,
Comoros,
Congo (Brazzaville),
Congo (Kinshasa),
Cook Islands,
Costa Rica,
Cote d'Ivoire,
Croatia,
Cuba,
Cyprus,
Czechia,
Denmark,Denmark
Denmark,Faroe Islands
Denmark,Greenland
Djibouti,
Dominica,
Dominican Republic,
Ecuador,
Egypt,
El Salvador,
Equatorial Guinea,
Eritrea,
Estonia,
Eswatini,
Ethiopia,
Falkland Islands (Islas Malvinas),
Fiji,
Finland,
France,France
France,French Guiana
France,French Polynesia
France,Guadeloupe
France,Mayotte
France,New Caledonia
France,Reunion
France,Saint Barthelemy
France,St Martin
Gabon,
"Gambia, The",
Gaza Strip,
Georgia,
Germany,
Ghana,
Greece,
Grenada,
Guam,
Guatemala,
Guernsey,
Guinea,
Guinea-Bissau,
Guyana,
Haiti,
Holy See,
Honduras,
Hong Kong,
Hungary,
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland,
Israel,
Italy,
Jamaica,
Japan,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kiribati,
"Korea, North",
"Korea, South",
Kosovo,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Macau,
Macedonia,
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Marshall Islands,
Martinique,
Mauritania,
Mauritius,
Mexico,
"Micronesia, Federated States of",
Moldova,
Monaco,
Mongolia,
Montenegro,
Morocco,
Mozambique,
Namibia,
Nauru,
Nepal,
Netherlands,Aruba
Netherlands,Curacao
Netherlands,Netherlands
Netherlands,Sint Maarten
New Zealand,
Nicaragua,
Niger,
Nigeria,
Niue,
Norfolk Island,
North Macedonia,
Northern Mariana Islands,
Norway,
Oman,
Pakistan,
Palau,
Panama,
Papua New Guinea,
Paracel Islands,
Paraguay,
Peru,
Philippines,
Pitcairn Islands,
Poland,
Portugal,
Puerto Rico,
Qatar,
Romania,
Russia,
Rwanda,
"Saint Helena, Ascension, and Tristan da Cunha",
Saint Kitts and Nevis,
Saint Lucia,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Samoa,
San Marino,
Sao Tome and Principe,
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Slovakia,
Slovenia,
Solomon Islands,
Somalia,
South Africa,
South Sudan,
Spain,
Sri Lanka,
Sudan,
Suriname,
Svalbard,
Sweden,
Switzerland,
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,
Togo,
Tokelau,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
Uganda,
Ukraine,
United Arab Emirates,
United Kingdom,Bermuda
United Kingdom,Cayman Islands
United Kingdom,Channel Islands
United Kingdom,Gibraltar
United Kingdom,Isle of Man
United Kingdom,Montserrat
United Kingdom,United Kingdom
United States,
Uruguay,
US,Alabama
US,Alaska
US,American Samoa
US,Arizona
US,Arkansas
US,California
US,Colorado
US,Connecticut
US,Delaware
US,Diamond Princess
US,District of Columbia
US,Florida
US,Georgia
US,Grand Princess
US,Guam
US,Hawaii
US,Idaho
US,Illinois
US,Indiana
US,Iowa
US,Kansas
US,Kentucky
US,Louisiana
US,Maine
US,Maryland
US,Massachusetts
US,Michigan
US,Minnesota
US,Mississippi
US,Missouri
US,Montana
US,Nebraska
US,Nevada
US,New Hampshire
US,New Jersey
US,New Mexico
US,New York
US,North Carolina
US,North Dakota
US,Northern Mariana Islands
US,Ohio
US,Oklahoma
US,Oregon
US,Pennsylvania
US,Puerto Rico
US,Rhode Island
US,South Carolina
US,South Dakota
US,Tennessee
US,Texas
US,Utah
US,Vermont
US,Virgin Islands
US,Virginia
US,Washington
US,West Virginia
US,Wisconsin
US,Wyoming
Uzbekistan,
Vanuatu,
Venezuela,
Vietnam,
Virgin Islands,
Wallis and Futuna,
West Bank,
Western Sahara,
Yemen,
Zambia,
Zimbabwe,
Australia,From Diamond Princess
Cruise Ship,Diamond Princess
Canada,Grand Princess